n;avg;min;max;standard_deviation
100;1345.99;694;2437;356.64
200;3416.78;1672;5906;958.45
300;5302.48;2898;9862;1620.12
400;7575.69;4087;15707;2464.20
500;9780.14;5142;18311;3056.69
600;11378.52;6340;22790;3805.47
700;14214.39;7386;27046;4700.84
800;17055.93;8611;33424;5383.10
900;21002.24;11095;39483;6360.92
1000;22087.73;11256;38697;7169.18
1100;25443.34;12804;56469;8964.27
1200;28397.04;14203;47402;8483.50
1300;29094.08;15386;56901;10376.74
1400;33297.73;17316;73155;12406.49
1500;35512.15;18420;81426;13031.06
1600;37158.05;20659;66033;11897.64
1700;42715.06;21484;77666;12606.49
1800;42705.98;23276;93408;15479.62
1900;47420.51;24302;84644;15668.04
2000;51467.07;26671;101264;17238.79
2100;51457.60;26930;106501;16457.43
2200;57450.68;28125;120125;20037.00
2300;60198.18;31361;129779;19707.83
2400;61103.76;31429;127560;19336.18
2500;67641.71;33546;143507;24119.75
2600;64558.09;34604;128995;21236.58
2700;70763.02;36898;198572;28527.09
2800;70261.23;36143;153418;24075.12
2900;76648.37;38724;162451;27656.46
3000;82185.17;41866;167394;26937.54
3100;87231.95;42111;178874;29544.53
3200;86282.07;44524;200570;31523.00
3300;92609.32;43154;178152;29672.30
3400;88536.62;45854;173432;27615.03
3500;90622.88;47383;165938;27758.58
3600;100563.21;49572;225030;34963.23
3700;99034.16;51319;231622;38628.23
3800;99472.25;52412;221496;34432.04
3900;108693.30;54427;218521;38427.72
4000;114341.83;55489;278467;39212.64
4100;116509.30;58914;224795;38791.97
4200;113146.09;60550;244047;40087.70
4300;121671.64;64166;276588;45542.15
4400;122682.76;64212;282967;42409.18
4500;124917.21;63389;235047;43552.74
4600;133535.61;69577;246160;43282.60
4700;139417.01;71177;283677;48687.60
4800;140555.15;72296;267177;45279.29
4900;136354.61;72622;274152;44604.49
5000;149368.31;78244;309695;51054.18
5100;151983.17;73462;318389;51961.77
5200;154039.84;77274;350895;52695.97
5300;149386.88;78946;257797;35759.95
5400;149956.76;79128;278881;51480.93
5500;161031.10;82150;323336;49716.30
5600;159724.10;81704;328123;54035.28
5700;161094.96;85120;290750;50886.15
5800;169884.28;85824;375339;60527.67
5900;169761.35;84463;346466;57458.81
6000;172141.27;86985;328000;61362.13
6100;190963.14;93039;424800;68026.68
6200;189432.10;90777;364712;57980.54
6300;181541.54;92860;421674;63670.28
6400;176331.27;100425;356019;57047.27
6500;197480.36;95579;396917;65718.45
6600;202736.70;101748;388789;63604.88
6700;194918.95;103903;381112;59722.21
6800;200895.04;103333;399131;68523.66
6900;202201.44;105945;431856;69169.63
7000;214028.04;102839;492327;83223.56
7100;208692.46;103880;420432;66976.70
7200;220166.67;110170;427287;72293.24
7300;213271.79;111543;452969;80088.60
7400;233721.47;121981;593538;81655.13
7500;230999.73;109189;456984;78536.14
7600;217613.31;116151;426775;72626.99
7700;250388.17;122112;509715;87987.17
7800;232711.89;117902;432061;77134.01
7900;240462.45;128586;446747;73975.59
8000;247175.67;121823;490117;77708.77
8100;252358.49;120877;630500;99886.65
8200;242185.16;122176;478231;83502.95
8300;244312.90;129559;606086;84717.55
8400;268175.77;129335;561107;90014.43
8500;274470.61;138151;557488;94591.73
8600;270489.63;130900;567126;101375.70
8700;272039.82;131977;574200;91697.64
8800;253757.63;134811;544714;87117.02
8900;282117.03;144398;508397;96837.75
9000;291846.53;151821;597194;98659.92
9100;279850.75;140259;614469;101608.80
9200;298804.22;142013;552949;104330.02
9300;290619.83;146435;554445;91261.34
9400;277150.77;143470;660724;106207.12
9500;294969.30;152138;578481;106376.16
9600;303026.92;154254;690490;109195.41
9700;291370.27;153285;682201;105182.22
9800;308936.97;158155;640675;113443.35
9900;304308.51;156134;631758;101214.65
10000;302732.22;157980;687247;102848.20
