n;avg;min;max;standard_deviation
100;1891.00;1891;1891;0.00
200;2998.00;2998;2998;0.00
300;4991.00;4991;4991;0.00
400;7903.00;7903;7903;0.00
500;9265.00;9265;9265;0.00
600;11405.95;6946;11451;448.24
700;15174.00;15174;15174;0.00
800;14562.50;14064;16058;863.43
900;17169.26;17048;17177;30.64
1000;21965.00;21965;21965;0.00
1100;23222.22;20604;24571;1879.20
1200;24922.86;22854;27900;2481.79
1300;26098.28;25327;27815;1150.68
1400;28570.30;27259;31630;2003.04
1500;34303.11;31971;38274;3043.12
1600;39383.58;36855;41813;2478.50
1700;36940.60;35997;38693;1285.91
1800;41248.56;39934;41644;687.28
1900;44746.56;44316;45420;538.48
2000;48328.74;42249;51264;4188.12
2100;44448.40;42936;46717;1852.30
2200;50806.14;49704;53952;1738.59
2300;52332.84;49070;56851;3834.63
2400;56235.10;55768;56806;516.40
2500;60242.52;51636;65254;5424.99
2600;60985.29;56897;73032;5524.49
2700;59641.74;55098;62112;3334.21
2800;67510.48;60876;72730;5679.55
2900;68418.71;63824;70898;2262.59
3000;69995.99;68229;70798;1002.92
3100;73926.16;71599;77840;2073.92
3200;71118.13;69325;73317;1807.08
3300;78574.81;75780;80829;2314.65
3400;89962.36;79638;100442;8666.60
3500;85261.31;82254;87870;1647.54
3600;90609.40;88535;92163;1569.09
3700;87529.40;56335;98209;14784.74
3800;94143.95;90614;96547;2324.95
3900;105771.62;95516;113375;6259.77
4000;103044.13;94745;112177;6090.01
4100;109982.34;92680;117317;6122.34
4200;100891.92;63114;127317;25303.65
4300;112040.83;102535;122269;7600.86
4400;111168.88;101946;116806;5843.39
4500;112875.44;108287;120047;3705.70
4600;115877.43;110216;119523;3563.71
4700;122713.24;109861;138135;11348.02
4800;117414.21;113016;128047;4816.18
4900;122913.91;113036;130980;6801.45
5000;121010.40;116809;126414;3269.56
5100;131818.34;121718;146503;9425.72
5200;121818.25;81239;143002;23487.18
5300;140302.00;129636;156394;9006.02
5400;143886.29;130738;155139;10460.90
5500;137335.40;120520;154458;12543.60
5600;142584.71;126566;157926;11690.22
5700;150033.27;141298;155848;5159.47
5800;148912.22;142280;158409;4501.81
5900;156415.45;145436;163117;6239.40
6000;153459.06;142828;163837;7875.28
6100;156085.93;148077;166316;5238.84
6200;154638.31;103236;172597;25961.93
6300;153313.75;140933;170200;8504.46
6400;167172.83;146941;187246;11846.45
6500;170784.78;144002;181518;13350.99
6600;166168.56;155070;177467;7403.77
6700;176874.92;149604;191753;13619.12
6800;188163.79;176161;201332;9985.69
6900;186397.39;167090;197450;9943.62
7000;190380.72;172746;207321;11801.47
7100;196428.84;180758;215473;11474.34
7200;176557.61;118585;200014;26400.41
7300;192799.80;168624;220186;15224.59
7400;198786.66;180556;221425;12358.95
7500;200109.34;174239;224233;19741.83
7600;203432.11;179079;221219;11240.09
7700;204519.99;187340;225153;14927.11
7800;213204.48;202948;223796;7843.47
7900;215634.03;187123;235901;15750.10
8000;223018.97;202248;237465;12159.92
8100;209684.03;195148;227600;9221.00
8200;225731.11;215001;235020;7066.40
8300;232428.91;208650;253431;13325.79
8400;223614.10;209199;250228;11355.84
8500;228253.34;195721;241421;10282.37
8600;229271.77;203361;255108;17407.18
8700;221674.11;153889;266437;42649.18
8800;233109.14;214460;247474;10605.66
8900;243792.41;216738;265340;18265.11
9000;251373.62;238015;281198;13297.36
9100;252572.14;226480;273392;15182.68
9200;257889.37;232210;278497;17238.91
9300;254930.66;232405;286408;14866.66
9400;258209.76;239890;285640;14199.62
9500;249012.42;173625;289376;32787.62
9600;258629.75;239146;290650;15466.07
9700;261407.78;237750;284643;15278.05
9800;263329.59;231085;292791;18443.76
9900;267073.15;251719;295557;13466.89
10000;276767.36;249574;311342;15590.90
