n;compares;time
1000;13;374
2000;19;208
3000;23;178
4000;21;299
5000;21;165
6000;21;190
7000;21;174
8000;25;234
9000;25;201
10000;25;252
11000;27;191
12000;25;217
13000;25;200
14000;27;236
15000;27;259
16000;23;189
17000;23;211
18000;23;232
19000;23;183
20000;23;245
21000;29;249
22000;23;205
23000;23;186
24000;23;204
25000;29;257
26000;29;255
27000;23;216
28000;23;243
29000;29;285
30000;29;277
31000;29;239
32000;29;241
33000;29;458
34000;29;270
35000;29;591
36000;29;278
37000;29;329
38000;29;496
39000;29;319
40000;29;235
41000;27;267
42000;27;225
43000;29;243
44000;29;248
45000;27;237
46000;27;255
47000;27;258
48000;27;216
49000;27;245
50000;27;587
51000;27;262
52000;27;240
53000;27;261
54000;31;522
55000;31;240
56000;31;253
57000;27;236
58000;27;272
59000;27;261
60000;27;264
61000;27;228
62000;31;310
63000;31;288
64000;31;270
65000;27;256
66000;31;277
67000;31;325
68000;31;356
69000;31;330
70000;27;273
71000;27;220
72000;27;238
73000;27;257
74000;31;281
75000;27;253
76000;27;237
77000;27;311
78000;33;315
79000;33;319
80000;33;353
81000;33;453
82000;31;366
83000;31;317
84000;31;357
85000;31;307
86000;33;337
87000;33;311
88000;33;300
89000;33;351
90000;31;316
91000;33;332
92000;33;349
93000;33;315
94000;31;321
95000;31;278
96000;31;249
97000;33;362
98000;31;316
99000;31;287
100000;31;288
