n;compares;time
1000;19;193
2000;21;223
3000;23;189
4000;23;232
5000;25;225
6000;25;191
7000;25;184
8000;25;204
9000;27;190
10000;27;179
11000;25;186
12000;25;202
13000;25;213
14000;25;167
15000;25;183
16000;25;225
17000;25;175
18000;25;156
19000;25;212
20000;25;197
21000;25;168
22000;29;221
23000;29;255
24000;29;209
25000;25;204
26000;25;195
27000;25;228
28000;25;222
29000;25;182
30000;25;235
31000;25;212
32000;25;199
33000;29;221
34000;25;207
35000;25;221
36000;25;303
37000;25;228
38000;31;1379
39000;31;274
40000;31;220
41000;31;219
42000;25;209
43000;31;243
44000;31;216
45000;31;245
46000;31;250
47000;31;218
48000;31;250
49000;31;219
50000;25;230
51000;25;202
52000;25;192
53000;25;183
54000;31;241
55000;31;217
56000;31;263
57000;31;284
58000;25;185
59000;31;252
60000;31;234
61000;31;239
62000;31;226
63000;31;217
64000;31;218
65000;29;203
66000;31;221
67000;31;211
68000;31;251
69000;31;196
70000;31;239
71000;33;280
72000;33;242
73000;33;261
74000;33;240
75000;33;214
76000;33;271
77000;33;329
78000;33;265
79000;33;300
80000;33;279
81000;31;353
82000;31;787
83000;33;281
84000;33;336
85000;33;263
86000;31;260
87000;31;244
88000;31;258
89000;31;245
90000;31;214
91000;33;256
92000;33;259
93000;33;257
94000;33;258
95000;33;202
96000;33;272
97000;31;193
98000;31;201
99000;33;253
100000;33;259
