n;compares;time
1000;1;61
2000;1;49
3000;1;51
4000;1;51
5000;1;55
6000;1;52
7000;1;52
8000;1;64
9000;1;54
10000;1;59
11000;1;61
12000;1;55
13000;1;55
14000;1;56
15000;1;51
16000;1;50
17000;1;49
18000;1;53
19000;1;52
20000;1;49
21000;1;50
22000;1;51
23000;1;51
24000;1;62
25000;1;8363
26000;1;55
27000;1;63
28000;1;51
29000;1;52
30000;1;53
31000;1;55
32000;1;59
33000;1;51
34000;1;53
35000;1;55
36000;1;46
37000;1;50
38000;1;45
39000;1;57
40000;1;51
41000;1;56
42000;1;55
43000;1;52
44000;1;52
45000;1;52
46000;1;52
47000;1;60
48000;1;60
49000;1;47
50000;1;60
51000;1;53
52000;1;53
53000;1;59
54000;1;58
55000;1;51
56000;1;49
57000;1;50
58000;1;50
59000;1;47
60000;1;57
61000;1;56
62000;1;50
63000;1;46
64000;1;48
65000;1;51
66000;1;54
67000;1;49
68000;1;63
69000;1;53
70000;1;49
71000;1;51
72000;1;46
73000;1;56
74000;1;51
75000;1;55
76000;1;58
77000;1;52
78000;1;55
79000;1;44
80000;1;53
81000;1;60
82000;1;45
83000;1;56
84000;1;60
85000;1;46
86000;1;56
87000;1;50
88000;1;54
89000;1;54
90000;1;52
91000;1;55
92000;1;55
93000;1;52
94000;1;46
95000;1;54
96000;1;49
97000;1;59
98000;1;50
99000;1;51
100000;1;55
