n;compares;time
1000;19;165
2000;21;183
3000;23;172
4000;23;175
5000;24;180
6000;25;184
7000;25;202
8000;25;188
9000;26;190
10000;26;195
11000;27;196
12000;27;197
13000;27;196
14000;27;199
15000;27;201
16000;27;202
17000;28;203
18000;28;209
19000;28;205
20000;28;208
21000;28;208
22000;29;208
23000;29;222
24000;29;215
25000;29;211
26000;29;220
27000;29;212
28000;29;229
29000;29;213
30000;29;223
31000;29;215
32000;29;217
33000;30;218
34000;30;247
35000;30;219
36000;30;255
37000;30;282
38000;30;253
39000;30;223
40000;30;229
41000;30;226
42000;30;225
43000;31;227
44000;30;228
45000;31;348
46000;31;229
47000;31;230
48000;31;232
49000;31;234
50000;31;231
51000;31;278
52000;31;233
53000;31;277
54000;31;242
55000;31;242
56000;31;232
57000;31;261
58000;31;240
59000;31;239
60000;31;238
61000;31;245
62000;31;239
63000;31;248
64000;31;240
65000;31;266
66000;32;242
67000;32;267
68000;32;242
69000;32;251
70000;32;313
71000;32;246
72000;32;244
73000;32;245
74000;32;246
75000;32;245
76000;32;248
77000;32;458
78000;32;250
79000;32;298
80000;32;305
81000;32;289
82000;32;248
83000;32;249
84000;32;258
85000;32;302
86000;32;251
87000;33;250
88000;33;253
89000;33;252
90000;33;252
91000;33;251
92000;33;286
93000;33;251
94000;33;254
95000;33;255
96000;33;265
97000;33;255
98000;33;253
99000;33;256
100000;33;256
