n;compares;time
1000;17;144
2000;18;156
3000;20;152
4000;20;158
5000;21;164
6000;22;164
7000;22;166
8000;23;183
9000;23;171
10000;23;173
11000;23;194
12000;24;536
13000;24;178
14000;24;178
15000;24;187
16000;24;328
17000;25;237
18000;25;183
19000;25;188
20000;25;186
21000;26;254
22000;25;188
23000;26;190
24000;26;189
25000;26;190
26000;26;563
27000;26;194
28000;26;193
29000;26;193
30000;26;438
31000;26;196
32000;26;197
33000;26;213
34000;27;203
35000;27;198
36000;27;222
37000;27;238
38000;27;700
39000;27;204
40000;27;201
41000;27;202
42000;27;202
43000;27;202
44000;28;202
45000;28;203
46000;28;203
47000;28;204
48000;28;209
49000;28;205
50000;28;213
51000;28;207
52000;28;205
53000;28;208
54000;28;208
55000;28;205
56000;28;215
57000;28;209
58000;28;207
59000;28;209
60000;28;210
61000;28;209
62000;29;215
63000;28;212
64000;28;204
65000;28;210
66000;29;213
67000;29;217
68000;29;214
69000;29;213
70000;29;215
71000;29;219
72000;29;215
73000;29;218
74000;29;217
75000;29;220
76000;29;218
77000;29;271
78000;29;228
79000;29;239
80000;29;255
81000;29;297
82000;29;256
83000;29;222
84000;29;232
85000;29;224
86000;29;240
87000;29;223
88000;30;227
89000;29;334
90000;30;231
91000;29;222
92000;30;223
93000;30;230
94000;30;223
95000;30;225
96000;30;360
97000;30;228
98000;30;224
99000;30;226
100000;30;242
