n;compares;shifts;time
100;660;419;19.10
200;1518;839;26.50
300;2582;1552;35.70
400;3690;2179;50.20
500;4944;2808;65.80
600;5861;3330;77.10
700;7450;4386;97.10
800;8358;4469;106.40
900;10039;5090;121.20
1000;11052;6146;136.40
1100;12208;6710;147.30
1200;13547;7547;161.10
1300;14874;8359;197.90
1400;16461;9115;199.30
1500;17821;10559;221.90
1600;19006;10604;242.40
1700;20538;11094;247.70
1800;21815;11743;258.20
1900;23296;12906;281.30
2000;25251;14278;303.70
2100;26572;14935;321.20
2200;27681;15814;338.20
2300;28616;16014;344.70
2400;31322;17056;366.80
2500;31944;17619;388.30
2600;32595;18626;406.80
2700;34120;18436;416.20
2800;36843;20762;442.10
2900;37615;20502;447.70
3000;39324;21867;466.80
3100;40652;22248;494.10
3200;42692;22973;503.10
3300;43284;23315;524.00
3400;46594;25575;547.60
3500;47657;27403;583.10
3600;48407;27280;581.10
3700;51677;27295;591.70
3800;50522;26065;584.00
3900;53559;27295;619.90
4000;56514;30870;648.20
4100;57036;31263;679.20
4200;57019;30877;663.20
4300;59767;33004;711.30
4400;61466;32142;708.40
4500;61858;32508;727.90
4600;65486;35520;767.70
4700;66584;36115;788.30
4800;68285;36772;818.80
4900;67568;37775;819.20
5000;71028;38613;842.90
5100;71842;38308;845.30
5200;74574;41598;894.70
5300;77022;41421;906.60
5400;76317;42792;919.40
5500;80633;43681;943.40
5600;80809;45558;949.10
5700;80341;43574;941.00
5800;82427;45125;987.70
5900;83971;46160;1005.20
6000;85273;46898;1023.90
6100;88108;47058;1039.10
6200;88802;47038;1049.50
6300;91958;50737;1106.10
6400;93194;49277;1088.20
6500;96549;50984;1112.70
6600;96839;52536;1094.10
6700;100333;53138;1130.00
6800;101091;54439;1156.90
6900;103667;56309;1165.10
7000;101954;56758;1165.70
7100;107039;57812;1232.00
7200;106640;57548;1220.70
7300;111149;58963;1224.00
7400;112087;59494;1265.90
7500;112126;59739;1267.30
7600;112155;61661;1282.70
7700;114455;61374;1306.50
7800;118572;64011;1330.90
7900;122206;66485;1362.50
8000;119160;63458;1355.90
8100;122776;66751;1396.60
8200;124203;66611;1392.00
8300;125737;70925;1476.20
8400;130741;68941;1433.10
8500;130326;71124;1484.30
8600;129884;68851;1479.90
8700;131926;71614;1510.30
8800;133932;72665;1513.20
8900;140626;77550;1580.10
9000;141172;75000;1609.70
9100;140073;76445;1654.10
9200;144122;76952;1665.50
9300;141298;78686;1672.20
9400;145497;78037;1704.40
9500;147058;78752;1721.40
9600;150267;79412;1736.30
9700;148913;81306;1770.70
9800;147688;78972;1737.50
9900;154413;83100;1764.10
10000;158498;85513;1815.00
