n;compares;shifts;time
100;612;278;16.10
200;1475;644;23.20
300;2352;1082;31.10
400;3342;1559;42.00
500;4475;1974;53.80
600;5513;2435;65.20
700;6710;2853;75.70
800;7657;3424;90.50
900;9340;3917;102.30
1000;10059;4285;115.50
1100;11363;5189;126.10
1200;12614;5465;134.60
1300;13488;5972;160.90
1400;14815;6886;168.90
1500;16630;7078;174.00
1600;17696;7988;199.40
1700;18859;7811;201.80
1800;20066;8754;216.10
1900;21449;9616;230.60
2000;23083;10068;248.80
2100;24161;10750;261.10
2200;25045;11460;279.40
2300;26117;11947;285.00
2400;27885;12348;303.30
2500;29078;12710;324.80
2600;30747;13151;334.10
2700;31276;13867;355.70
2800;33280;14829;366.70
2900;34343;15255;377.30
3000;36058;15891;389.70
3100;37314;16104;401.30
3200;39214;16765;420.40
3300;39578;17670;444.90
3400;41691;18149;449.40
3500;43253;18903;463.90
3600;44484;19497;470.90
3700;46621;20172;499.40
3800;46721;20900;513.90
3900;48201;22019;529.70
4000;50125;21731;534.60
4100;51699;22734;566.10
4200;53112;22885;572.40
4300;55018;24855;589.20
4400;55432;24038;599.20
4500;56992;25518;616.10
4600;60005;26427;637.20
4700;59856;26286;654.90
4800;62944;27373;677.20
4900;63165;28226;698.80
5000;66099;28475;707.00
5100;65585;29756;723.10
5200;68064;29410;727.90
5300;68969;30471;744.80
5400;72339;31438;767.10
5500;73828;32272;784.90
5600;73799;32559;766.30
5700;75362;33391;788.60
5800;76580;33484;813.50
5900;78426;35478;861.50
6000;79489;35732;847.60
6100;81067;35326;872.70
6200;83638;37253;893.70
6300;85585;38176;904.90
6400;84399;37310;904.90
6500;88715;39330;954.30
6600;87363;38772;938.70
6700;91917;40620;934.70
6800;91967;39926;946.70
6900;91776;40846;958.90
7000;96774;42567;1005.50
7100;96767;43478;1015.30
7200;96717;42893;1036.10
7300;100004;43720;1035.00
7400;99916;43133;1032.40
7500;101952;44668;1052.60
7600;104172;47427;1113.40
7700;105594;46920;1089.80
7800;107562;48711;1153.90
7900;107588;47852;1111.30
8000;110047;48195;1127.10
8100;111388;49217;1154.30
8200;112344;49577;1181.90
8300;115219;50945;1185.90
8400;115609;51374;1213.90
8500;115846;52248;1222.20
8600;120329;52745;1242.30
8700;121598;54407;1299.00
8800;122996;54036;1260.80
8900;123904;53324;1259.00
9000;124148;56227;1341.80
9100;130441;56942;1378.40
9200;128753;58184;1404.10
9300;130042;57838;1388.40
9400;132342;59740;1427.50
9500;134497;57693;1422.00
9600;137141;61635;1492.40
9700;135159;59685;1477.00
9800;138868;61350;1495.30
9900;138811;61469;1474.40
10000;144779;63857;1524.70
