n;compares;shifts;time
100;2763;1171;77.80
200;6924;2892;115.90
300;12461;5139;164.10
400;17261;7069;224.90
500;23088;9413;286.00
600;28488;11533;351.60
700;34513;13993;432.10
800;41292;16592;493.70
900;48086;19329;567.00
1000;55496;22321;650.00
1100;61582;24785;720.40
1200;68925;27718;783.00
1300;75576;30399;866.40
1400;82331;33001;933.00
1500;89743;35912;1002.60
1600;97779;38966;1120.60
1700;104475;41582;1179.00
1800;109892;43925;1240.90
1900;119413;47329;1355.10
2000;126856;50575;1403.90
2100;134735;53341;1528.30
2200;141413;56341;1566.70
2300;150360;59576;1658.70
2400;156586;61987;1740.50
2500;169103;66901;1833.80
2600;173712;69053;1984.90
2700;182844;72715;2062.40
2800;191404;75782;2182.20
2900;200167;79453;2244.90
3000;207055;81437;2306.90
3100;211007;83260;2352.20
3200;223030;87941;2496.00
3300;228041;89978;2523.10
3400;237138;93670;2559.80
3500;246325;96801;2738.00
3600;258985;102366;2855.90
3700;264661;103986;2910.80
3800;273269;107547;3019.50
3900;280267;109964;3073.60
4000;287315;112593;3155.40
4100;298073;117519;3252.30
4200;304877;119943;3330.10
4300;314773;124274;3471.60
4400;328367;129526;3587.60
4500;336289;132428;3643.70
4600;346038;135609;3781.20
4700;345909;136106;3825.10
4800;359741;141780;3997.90
4900;368267;145544;4115.10
5000;379510;149231;4190.90
5100;388736;151344;4259.50
5200;394448;154700;4373.80
5300;407398;159704;4471.30
5400;419413;164240;4591.20
5500;418435;164393;4559.00
5600;432301;169465;4643.30
5700;443464;174936;4717.60
5800;452014;177319;4952.90
5900;451872;177343;4976.10
6000;470099;184685;5129.30
6100;472965;184976;5149.50
6200;487092;191008;5331.80
6300;497199;194452;5444.40
6400;504005;196814;5468.70
6500;508826;200114;5524.40
6600;515105;202471;5426.90
6700;527063;206282;5557.20
6800;537659;209636;5665.70
6900;546257;213865;5768.20
7000;561880;219647;5922.90
7100;570951;224114;6012.30
7200;572873;224401;6024.50
7300;594870;232300;6181.10
7400;602955;235069;6332.50
7500;608643;237869;6318.60
7600;624930;243707;6486.70
7700;628641;245792;6576.40
7800;634429;248124;6566.80
7900;642797;250437;6736.40
8000;658513;256461;6818.70
8100;664004;259246;6931.00
8200;673197;263130;7069.00
8300;673824;262577;7024.70
8400;692160;270988;7250.50
8500;691748;269436;7216.20
8600;701854;273778;7439.50
8700;723549;282880;7561.60
8800;731592;284415;7619.20
8900;737007;286344;7773.10
9000;750056;291839;8017.70
9100;756611;295213;8173.50
9200;769859;300044;8307.90
9300;781571;305186;8268.20
9400;789937;306081;8511.10
9500;796365;310757;8653.30
9600;809419;314922;8792.10
9700;815213;317255;8876.10
9800;834672;325269;8968.40
9900;844011;329020;9055.80
10000;848245;331554;9018.10
