n;compares;shifts;time
100;3090;1509;95.00
200;7692;3575;143.00
300;12841;5903;186.50
400;18676;8266;257.80
500;24917;10936;335.80
600;30589;13634;413.90
700;37815;16523;501.80
800;44147;19087;570.40
900;49928;21501;633.20
1000;57964;24918;741.20
1100;64753;27846;837.20
1200;72041;30889;884.60
1300;78807;33818;972.40
1400;87275;37049;1077.40
1500;93993;39910;1134.30
1600;101274;42648;1265.60
1700;109129;45741;1359.50
1800;116417;48731;1395.00
1900;124593;52545;1494.00
2000;132479;55572;1582.70
2100;140049;58653;1657.00
2200;147923;62379;1768.10
2300;155736;65785;1847.00
2400;163883;69015;1961.80
2500;170379;72130;2011.50
2600;180068;75678;2194.90
2700;189093;79364;2316.10
2800;197718;82462;2389.90
2900;205772;85913;2510.70
3000;214819;88816;2568.10
3100;221603;92119;2664.80
3200;231364;95317;2756.50
3300;238737;98281;2798.00
3400;246199;101451;2866.80
3500;255935;105823;3031.00
3600;262297;108799;3071.90
3700;271351;112271;3241.50
3800;281252;116628;3318.90
3900;290914;120259;3400.00
4000;300050;123575;3506.00
4100;307918;127342;3617.00
4200;315731;130351;3714.30
4300;327574;134714;3849.50
4400;332936;137506;3896.40
4500;341474;141397;3981.80
4600;348798;144935;4107.90
4700;362188;149926;4263.20
4800;370127;152629;4411.30
4900;379164;157055;4509.80
5000;386566;160104;4577.90
5100;396677;163665;4674.30
5200;402978;166441;4778.60
5300;414260;170336;4870.70
5400;423579;173942;5015.70
5500;435293;179213;5093.80
5600;444939;182282;5111.20
5700;452227;186128;5199.30
5800;461407;188081;5397.30
5900;473218;193224;5539.90
6000;479508;194987;5555.60
6100;489781;199946;5701.20
6200;496111;203075;5811.60
6300;506378;207390;5906.40
6400;520345;211016;6025.80
6500;528637;215241;6150.20
6600;534991;217358;6125.40
6700;542765;220896;6075.30
6800;555353;224947;6283.30
6900;562668;228742;6355.80
7000;572893;233675;6502.30
7100;581230;237252;6609.90
7200;586744;238782;6619.90
7300;596234;244534;6741.00
7400;610840;248078;6880.70
7500;621032;254140;7051.50
7600;630325;255873;7076.00
7700;637918;258982;7151.10
7800;645960;263710;7258.50
7900;659938;270076;7350.10
8000;674609;273032;7513.10
8100;678898;276550;7600.20
8200;687064;279268;7634.70
8300;695181;283068;7734.00
8400;705794;286956;7896.80
8500;718158;292650;7972.00
8600;727726;296352;8152.90
8700;734771;300245;8213.70
8800;742040;301717;8337.50
8900;753059;306891;8411.20
9000;763674;311416;8738.40
9100;774101;316191;8962.40
9200;782093;319671;9010.30
9300;795155;324609;9098.10
9400;804149;328793;9356.70
9500;808676;332602;9439.50
9600;824497;335688;9640.50
9700;835272;341104;9776.40
9800;848317;345800;9764.20
9900;853609;349605;9809.90
10000;856117;349162;9809.00
