n;compares;shifts;time
100;4950;5049;70.80
200;19900;20099;262.40
300;44850;45149;587.00
400;79800;80199;1012.20
500;124750;125249;1621.40
600;179700;180299;2248.30
700;244650;245349;3157.20
800;319600;320399;4120.20
900;404550;405449;5226.50
1000;499500;500499;6411.30
1100;604450;605549;7782.60
1200;719400;720599;9200.90
1300;844350;845649;10763.70
1400;979300;980699;12341.90
1500;1124250;1125749;14276.50
1600;1279200;1280799;16215.30
1700;1444150;1445849;18107.50
1800;1619100;1620899;20690.40
1900;1804050;1805949;22923.00
2000;1999000;2000999;25370.90
2100;2203950;2206049;28193.60
2200;2418900;2421099;30882.70
2300;2643850;2646149;33699.20
2400;2878800;2881199;36735.40
2500;3123750;3126249;39868.90
2600;3378700;3381299;42947.00
2700;3643650;3646349;46375.10
2800;3918600;3921399;49579.20
2900;4203550;4206449;53211.20
3000;4498500;4501499;56466.30
3100;4803450;4806549;59981.70
3200;5118400;5121599;64147.30
3300;5443350;5446649;68624.00
3400;5778300;5781699;72842.10
3500;6123250;6126749;76735.40
3600;6478200;6481799;81007.40
3700;6843150;6846849;85266.50
3800;7218100;7221899;90291.50
3900;7603050;7606949;95554.20
4000;7998000;8001999;100452.50
4100;8402950;8407049;106017.20
4200;8817900;8822099;109634.10
4300;9242850;9247149;116322.10
4400;9677800;9682199;122840.80
4500;10122750;10127249;126777.30
4600;10577700;10582299;131111.50
4700;11042650;11047349;136247.30
4800;11517600;11522399;142576.60
4900;12002550;12007449;147272.90
5000;12497500;12502499;154111.20
5100;13002450;13007549;160036.90
5200;13517400;13522599;166096.30
5300;14042350;14047649;172976.60
5400;14577300;14582699;181537.80
5500;15122250;15127749;190709.40
5600;15677200;15682799;196208.20
5700;16242150;16247849;203257.50
5800;16817100;16822899;211245.60
5900;17402050;17407949;219091.70
6000;17997000;18002999;228848.40
6100;18601950;18608049;233325.00
6200;19216900;19223099;239269.70
6300;19841850;19848149;246967.10
6400;20476800;20483199;254858.30
6500;21121750;21128249;262683.80
6600;21776700;21783299;268532.10
6700;22441650;22448349;276575.80
6800;23116600;23123399;284951.90
6900;23801550;23808449;293017.30
7000;24496500;24503499;301608.60
7100;25201450;25208549;310414.70
7200;25916400;25923599;319067.30
7300;26641350;26648649;329121.60
7400;27376300;27383699;340148.60
7500;28121250;28128749;354888.20
7600;28876200;28883799;362159.20
7700;29641150;29648849;374621.10
7800;30416100;30423899;378817.00
7900;31201050;31208949;378788.90
8000;31996000;32003999;383394.80
8100;32800950;32809049;392487.00
8200;33615900;33624099;402481.20
8300;34440850;34449149;411790.10
8400;35275800;35284199;421723.20
8500;36120750;36129249;431819.70
8600;36975700;36984299;441947.60
8700;37840650;37849349;452446.90
8800;38715600;38724399;462798.80
8900;39600550;39609449;473882.40
9000;40495500;40504499;484180.70
9100;41400450;41409549;495025.80
9200;42315400;42324599;505833.30
9300;43240350;43249649;516531.90
9400;44175300;44184699;527864.90
9500;45120250;45129749;539100.30
9600;46075200;46084799;550725.70
9700;47040150;47049849;562110.70
9800;48015100;48024899;573792.50
9900;49000050;49009949;586132.70
10000;49995000;50004999;597355.40
