n;compares;shifts;time
100;4950;0;11.40
200;19900;0;40.90
300;44850;0;83.90
400;79800;0;141.20
500;124750;0;218.60
600;179700;0;313.00
700;244650;0;441.00
800;319600;0;592.00
900;404550;0;737.50
1000;499500;0;892.00
1100;604450;0;1067.40
1200;719400;0;1274.90
1300;844350;0;1490.60
1400;979300;0;1721.20
1500;1124250;0;2002.20
1600;1279200;0;2242.60
1700;1444150;0;2487.20
1800;1619100;0;2859.90
1900;1804050;0;3180.70
2000;1999000;0;3523.20
2100;2203950;0;3926.10
2200;2418900;0;4289.10
2300;2643850;0;4696.90
2400;2878800;0;5120.60
2500;3123750;0;5553.80
2600;3378700;0;5973.50
2700;3643650;0;6453.80
2800;3918600;0;6895.20
2900;4203550;0;7447.80
3000;4498500;0;7903.70
3100;4803450;0;8329.80
3200;5118400;0;8952.90
3300;5443350;0;9603.00
3400;5778300;0;10173.30
3500;6123250;0;10702.70
3600;6478200;0;11336.10
3700;6843150;0;11940.40
3800;7218100;0;12661.30
3900;7603050;0;13265.40
4000;7998000;0;13955.70
4100;8402950;0;14867.60
4200;8817900;0;15331.70
4300;9242850;0;16294.70
4400;9677800;0;17203.00
4500;10122750;0;17631.30
4600;10577700;0;18417.60
4700;11042650;0;19002.00
4800;11517600;0;20017.20
4900;12002550;0;20773.20
5000;12497500;0;21571.90
5100;13002450;0;22372.80
5200;13517400;0;23240.80
5300;14042350;0;24216.10
5400;14577300;0;25500.20
5500;15122250;0;26752.30
5600;15677200;0;27620.00
5700;16242150;0;28266.80
5800;16817100;0;29696.90
5900;17402050;0;30908.50
6000;17997000;0;32149.80
6100;18601950;0;32850.60
6200;19216900;0;33781.10
6300;19841850;0;34817.60
6400;20476800;0;35681.40
6500;21121750;0;36900.20
6600;21776700;0;37861.90
6700;22441650;0;39016.30
6800;23116600;0;40112.60
6900;23801550;0;41323.40
7000;24496500;0;42662.60
7100;25201450;0;43989.20
7200;25916400;0;45094.40
7300;26641350;0;46501.00
7400;27376300;0;48157.10
7500;28121250;0;50067.50
7600;28876200;0;50998.60
7700;29641150;0;52575.20
7800;30416100;0;53618.00
7900;31201050;0;53122.70
8000;31996000;0;54074.70
8100;32800950;0;55431.10
8200;33615900;0;56759.40
8300;34440850;0;58104.50
8400;35275800;0;59564.00
8500;36120750;0;61090.70
8600;36975700;0;62592.80
8700;37840650;0;64016.60
8800;38715600;0;65417.20
8900;39600550;0;66925.50
9000;40495500;0;68478.20
9100;41400450;0;69890.70
9200;42315400;0;71644.30
9300;43240350;0;73304.50
9400;44175300;0;74719.90
9500;45120250;0;76211.20
9600;46075200;0;77946.50
9700;47040150;0;79585.90
9800;48015100;0;81180.50
9900;49000050;0;82855.40
10000;49995000;0;84634.00
