n;compares;shifts;time
100;2602;783;28.90
200;6449;1862;61.40
300;10392;2946;94.00
400;15528;4329;145.40
500;20213;5419;181.30
600;24815;6749;207.70
700;29691;7778;253.40
800;36289;9755;319.00
900;39977;10327;343.00
1000;47488;12470;404.50
1100;50637;13313;430.10
1200;57885;15264;487.60
1300;63447;16337;515.10
1400;69552;17819;551.60
1500;73286;18603;583.20
1600;83418;21819;687.30
1700;87156;22005;729.90
1800;93358;23703;765.00
1900;98171;25315;802.90
2000;108703;27834;895.50
2100;113204;28835;934.30
2200;117111;29970;950.40
2300;123425;31594;1012.30
2400;132470;34020;1086.10
2500;133498;33603;1056.60
2600;145396;36619;1161.70
2700;148324;37487;1187.00
2800;158951;39853;1244.20
2900;166427;41548;1278.70
3000;169065;42075;1317.70
3100;171433;42893;1318.90
3200;188401;47879;1482.20
3300;193056;48491;1533.80
3400;200424;49846;1579.30
3500;200559;49930;1593.20
3600;212825;52952;1637.60
3700;216467;53703;1650.20
3800;222934;56065;1747.30
3900;232415;58821;1811.70
4000;245390;61606;1934.00
4100;242333;60131;1881.50
4200;257134;64226;1995.20
4300;251440;62475;1965.90
4400;265895;66545;2090.90
4500;274801;68877;2140.90
4600;280876;70352;2158.00
4700;278220;69534;2123.50
4800;297885;74728;2224.40
4900;296421;73408;2155.70
5000;305175;75313;2299.10
5100;305957;75376;2238.60
5200;327301;80655;2419.70
5300;331307;81373;2428.10
5400;335618;82916;2522.20
5500;344242;85268;2647.50
5600;357987;88151;2720.90
5700;353178;86247;2631.70
5800;374601;91892;2865.10
5900;370296;90538;2804.80
6000;382426;93484;2929.00
6100;392096;95743;2959.30
6200;390543;95753;3020.30
6300;390417;96086;2916.30
6400;420413;104512;3219.40
6500;424359;104937;3194.80
6600;436238;107622;3273.40
6700;432701;106362;3242.60
6800;451149;110470;3373.10
6900;447251;108592;3296.50
7000;453105;110756;3358.80
7100;460996;113030;3460.40
7200;477861;116951;3555.30
7300;461576;111905;3365.60
7400;488348;119191;3604.30
7500;477335;116956;3622.00
7600;499969;123082;3798.90
7700;513422;126785;3930.80
7800;521278;129185;3940.70
7900;516754;127555;3813.30
8000;546016;134362;3959.80
8100;537770;131260;3857.80
8200;547662;133507;3927.30
8300;545198;133538;3910.20
8400;574746;140863;4123.70
8500;571498;139782;4113.50
8600;566727;138286;4059.00
8700;575880;141290;4123.10
8800;594658;146054;4278.20
8900;586042;143680;4201.10
9000;616030;151563;4420.60
9100;608372;150108;4378.70
9200;629406;154779;4519.20
9300;637233;156879;4560.80
9400;629805;154591;4488.20
9500;621773;152527;4410.10
9600;662105;162737;4717.40
9700;662909;162338;4705.70
9800;668376;162694;4694.90
9900;658288;160095;4654.20
10000;684685;165829;4790.10
