n;compares;shifts;time
100;3139;1280;40.30
200;7738;2966;87.70
300;12616;4849;139.70
400;18546;6742;193.60
500;24507;8788;263.40
600;29891;10865;302.50
700;36011;12870;382.90
800;43546;15161;445.80
900;48189;16481;481.60
1000;57266;19692;578.10
1100;60488;20942;611.70
1200;69765;24256;704.80
1300;77850;26937;758.50
1400;83390;28606;822.60
1500;88450;30042;858.20
1600;100438;33692;956.50
1700;104372;34526;993.00
1800;111468;36784;1059.80
1900;116807;39335;1112.50
2000;131352;43619;1242.40
2100;135968;45036;1299.90
2200;139047;46373;1320.30
2300;147530;49624;1412.40
2400;159553;53478;1534.20
2500;161331;54152;1532.20
2600;177822;59387;1690.00
2700;177739;59406;1667.30
2800;190543;63114;1798.20
2900;200951;66247;1909.30
3000;202040;66317;1886.30
3100;204783;67112;1856.90
3200;228184;74198;2101.20
3300;229955;74343;2129.50
3400;237782;76307;2145.50
3500;235917;76479;2136.50
3600;253725;81233;2253.00
3700;257031;82647;2306.80
3800;264591;86284;2399.40
3900;279320;90859;2549.10
4000;297092;95780;2717.90
4100;289617;93647;2638.40
4200;308269;99059;2753.50
4300;297470;96560;2701.30
4400;315765;102036;2893.60
4500;332407;107455;3026.10
4600;333488;108624;2961.00
4700;333574;109332;2970.40
4800;360185;117077;3193.10
4900;355648;115826;3114.40
5000;366262;119064;3243.90
5100;370640;122014;3297.80
5200;400397;129746;3568.90
5300;400480;129546;3543.90
5400;400096;129702;3565.30
5500;412420;133589;3735.40
5600;429091;137979;3866.20
5700;423216;136742;3824.40
5800;451907;144819;4087.30
5900;439430;141163;3952.00
6000;456533;145541;4141.60
6100;466637;147949;4104.90
6200;462273;147135;4091.10
6300;464027;148482;4027.70
6400;511217;161876;4473.80
6500;508884;160827;4459.20
6600;517262;162775;4448.40
6700;507952;160728;4413.70
6800;534172;167015;4579.30
6900;525353;164607;4512.20
7000;530483;167322;4581.20
7100;546919;171696;4786.40
7200;570132;177927;4860.10
7300;545834;171333;4627.60
7400;577827;180980;4920.80
7500;561429;178726;4960.20
7600;595270;188753;5265.00
7700;625770;197652;5563.40
7800;624222;197745;5464.40
7900;620240;197132;5283.30
8000;663929;208675;5577.20
8100;645155;203166;5411.10
8200;651162;204927;5418.90
8300;647814;205472;5427.00
8400;688939;215836;5721.90
8500;679777;213395;5640.70
8600;667069;210700;5557.20
8700;680147;214692;5665.40
8800;706866;222472;5884.60
8900;695023;220341;5823.20
9000;743935;234284;6212.50
9100;721909;229812;6073.00
9200;747541;236906;6245.60
9300;762092;241755;6357.90
9400;746127;237908;6230.80
9500;740946;237243;6205.00
9600;803476;254404;6702.70
9700;792045;251555;6605.00
9800;796915;252595;6622.90
9900;778920;249127;6518.70
10000;820362;259561;6808.90
